qseqid sseqid intron_length intron_position_on_target supercontig_length
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 438 2178 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 4681 2084 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 122 1880 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 530 1443 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2119 1384 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 637 1137 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 389 1063 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 615 766 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1704 620 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1307 351 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1128 235 21550105
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 146 1432 2438
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 407 1234 2438
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 94 845 2438
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 125 547 2438
VV01G11870_SIM1_transcript_26685-simsii_cds CM030799.1 58 336 2438
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030791.1 59634523 1270 59634891
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 105 1589 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 618 1416 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 1451 1276 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 1017 1081 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 5654272 1482 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030794.1 570 1698 5659864
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030798.1 16101928 1270 16102296
VV02G01120_DEL1_transcript_29365-delavayi_cds CM030800.1 22135269 1270 22135606
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 991 442 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 130 571 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 448 750 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1733 854 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1388 1054 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1367 1418 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 352 1717 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 14200 265 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 6208 442 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 130 571 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 324 750 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1925 854 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 87 915 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 650 1054 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 1368 1418 34847
VV03G00570_SIM1_transcript_11268-simsii_cds CM030792.1 352 1717 34847
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 836 754 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 162 883 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1246 1024 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 202 1603 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1055370 8346 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 846 8132 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 977 8078 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 670 7938 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 269 7743 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 541 7121 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 96 6555 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 84 5875 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 416 3250 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 300 1994 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 856 1681 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 67 1603 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 132 1024 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1949 878 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 161 754 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 1289 418 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 516 305 1076786
VV03G04190_SIM1_transcript_26027-simsii_cds CM030798.1 109 160 1076786
VV03G09260_SIM1_transcript_31353-simsii_cds CM030793.1 617 586 1055
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 731 1406 4595
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 978 1253 4595
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 770 1014 4595
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 168 788 4595
VV03G09260_SIM1_transcript_31353-simsii_cds CM030798.1 178 588 4595
VV03G09260_SIM1_transcript_31353-simsii_cds CM030799.1 614 588 5116040
VV03G09260_SIM1_transcript_31353-simsii_cds CM030799.1 5114759 1011 5116040
VV03G09260_SIM1_transcript_31353-simsii_cds CM030800.1 9243 588 62607
VV03G09260_SIM1_transcript_31353-simsii_cds CM030800.1 52693 1014 62607
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 13191 1926 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 765 1872 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 137 1769 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 332 1660 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 347 1595 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 1564 1526 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 214 1434 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 165 1329 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 85 1245 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 508 1165 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 1174 1115 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 2521 1042 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 85 967 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 1150 851 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 108 705 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 169 571 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 72 443 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 924 250 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 188 189 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030792.1 412 79 26141
VV03G10970_SIM1_transcript_11343-simsii_cds CM030798.1 320 703 4023
VV03G10970_SIM1_transcript_11343-simsii_cds CM030798.1 3355 1322 4023
VV04G01530_DEL1_transcript_15735-delavayi_cds CM030795.1 1686778 1923 1690622
VV04G03540_DEL1_transcript_8169-delavayi_cds CM030792.1 139 546 4112
VV04G03540_DEL1_transcript_8169-delavayi_cds CM030792.1 137 497 4112
VV04G03540_DEL1_transcript_8169-delavayi_cds CM030792.1 2304 353 4112
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 232 5855 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 292 5738 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 2804 5045 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 605 3414 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 834 3296 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 2483 3185 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 115 2716 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 83 2533 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 1125 1935 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 139 1502 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 363 1405 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 90 716 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 246 537 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 153 421 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 250 342 17792
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 1996 227 17792
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 910 1795 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 0 1821 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 36544618 437 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 1948 505 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 1007 663 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 464 870 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 1348 1154 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 514 1278 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 527 1483 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 574 1587 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 318 1821 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 9116050 1821 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 0 1795 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 910 1154 45671904
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 912 1795 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 0 1821 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 471938 1821 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 534 1278 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 507 1154 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 4440164 1821 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 0 1795 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 909 1154 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 13334634 1744 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 1317 1154 18252785
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 0 1795 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 910 1154 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 16103014 1821 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 0 1795 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 909 1154 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 29478569 1154 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 909 1795 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 0 1821 45585685
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030792.1 909 1795 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030792.1 0 1821 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030793.1 911 1795 1369
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030793.1 0 1821 1369
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 910 1795 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 0 1821 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 8023537 1821 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 538 1278 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 514 1154 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 5291025 1821 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 0 1795 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 911 1154 13318936
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030795.1 906 1795 1364
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030795.1 0 1821 1364
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 0 1795 6358137
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 910 1154 6358137
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 6355401 1154 6358137
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 909 1795 6358137
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 0 1821 6358137
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030797.1 0 1795 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030797.1 909 1154 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030798.1 910 1795 1368
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030798.1 0 1821 1368
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030799.1 0 1795 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030799.1 909 1154 1367
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 0 1795 2016199
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 2014583 1154 2016199
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 909 1795 2016199
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 0 1821 2016199
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030788.1 6932411 578 6932870
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 2784 7806 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 2859 7292 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 146 7016 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 537 5217 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 332 5095 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 97 4739 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 105 4549 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 1094 4298 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 959 3276 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 1159 2721 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 4627 1148 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 35129460 556 35148861
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030790.1 8693 8482 9542
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 31373679 7212 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 170 7016 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 589 5217 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 971 4732 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 1217 4275 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 3632 3018 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 8034906 556 39418471
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030794.1 5023 7296 11861115
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030794.1 170 7016 11861115
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030794.1 11853878 496 11861115
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 2671 8486 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 459 8328 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 2456 7800 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 499 7577 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 121 7498 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 112 7352 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 117 7296 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 160 7016 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 82 5288 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 360 5217 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 311 5095 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 106 4732 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 101 4549 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 5929 4428 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 301 4365 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 342 4298 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 213 3834 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 148 3730 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 111 3276 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 408 3018 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 124 2873 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 496 2755 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 87 2417 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 124 2163 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 413 1985 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 91 1643 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 119 1570 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 95 1354 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 3141 1148 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 1628 967 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 2651 849 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 97 774 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 270 697 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 646 652 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 2786 304 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 1382 192 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 999 69 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 1808426 6752 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 5256 7016 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 160 7296 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 131 7352 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 112 7498 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 116 7577 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 2345 7688 1856916
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030799.1 3174950 2152 11277721
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030799.1 777641 2543 11277721
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030799.1 7324546 496 11277721
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 781 560 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 80 736 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 661 1049 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 280 2012 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 470 2722 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 75 2999 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 201 3676 7125
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 635 3918 7125
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 658 480 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 380 697 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 382 782 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 81 874 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 169 980 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 130 1044 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 301 1114 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 517 1164 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 209 1215 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 381 1353 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 738 1434 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 579 1497 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 80 1594 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 177 1684 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 125 1740 6698
VV06G02060_SIM1_transcript_2298-simsii_cds CM030800.1 5041 695 64651
VV06G02060_SIM1_transcript_2298-simsii_cds CM030800.1 54675 1434 64651
VV06G02060_SIM1_transcript_2298-simsii_cds CM030800.1 4327 695 64651
VV06G03530_SIM1_transcript_28928-simsii_cds CM030800.1 794 1661 2697
VV06G03530_SIM1_transcript_28928-simsii_cds CM030800.1 134 1498 2697
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 1102 1473 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 980 1197 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 827 1007 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 655 876 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 602 781 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 144 655 6416
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 384 421 6416
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 783 2018 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 84 1897 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 959 1798 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 221 1710 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 349 1510 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 608 1177 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 493 875 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 88 313 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 1924 241 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 36585 1798 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 223 1710 45341
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 351 1472 45341
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 269 602 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 19615 157 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1347 284 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 711 419 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 524 519 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 213 602 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 76 697 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 470 929 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 207 1118 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 147 1223 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 109 1532 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1524 1692 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 100 1799 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 840 1854 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1051 2073 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 63123 157 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1352 284 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 928 371 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 46852 157 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1322 284 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 708 419 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 524 519 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 213 602 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 76 699 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 472 929 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 207 1118 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 154 1223 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 109 1532 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1520 1692 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 100 1799 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 845 1858 151592
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 1047 2073 151592
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 1491 446 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 1413 544 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 201 699 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 93 815 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 684 911 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 743 997 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 510 1065 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 144 1165 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 153 1311 7178
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 96 1403 7178
